keys,it
Variables: Vector,Variabili: vettore
the {part} part of {value},la parte {part} di {value}
"A Vector2, Vector3, Color or record to read one part of.","Un Vector2, Vector3, Color o record di cui leggere una parte."
Part,Parte
Which named part to read.,Quale parte con nome leggere.
X (left / right),X (sinistra / destra)
Y (up / down),Y (su / giù)
Z (forward / back),Z (avanti / indietro)
Red,Rosso
Green,Verde
Blue,Blu
Alpha (see-through),Alfa (trasparenza)
Set Part Of,Imposta la parte di
"Changes one named part and leaves the rest alone: zero the vertical speed on landing and keep the horizontal, flatten a 3D direction to the ground plane, fade only the see-through part of a tint. Writing a part a record does not have yet ADDS it.","Cambia una parte con nome e lascia stare il resto: azzerare la velocità verticale all'atterraggio mantenendo quella orizzontale, appiattire una direzione 3D sul piano del terreno, dissolvere solo la parte trasparenza di una tinta. Scrivere una parte che un record non ha ancora la AGGIUNGE."
set the {part} part of {var_name} to {value},imposta la parte {part} di {var_name} a {value}
Variable or property,Variabile o proprietà
"What to change one part of: a node's own member (velocity, modulate, position) picked from the list, or the name of a sheet variable holding a Vector, Color or record.","Ciò di cui cambiare una parte: un membro proprio del nodo (velocity, modulate, position) scelto dall'elenco, oppure il nome di una variabile del foglio che contiene un vettore, un colore o un record."
Which named part to write.,Quale parte con nome scrivere.
The new value for that one part.,Il nuovo valore per quella singola parte.
Watch Data File,Sorveglia file di dati
"Checks whether a data file has been written since the last check, and fires the sheet's data_file_changed(path) signal when it has - so you edit an enemy's numbers in the Inspector and the running game picks them up. Put it under Every X Seconds; the first check only takes a reading, so nothing fires just because the row started. This is a debug-build tool: it reads the file's timestamp each time it runs.","Controlla se un file di dati è stato scritto dall'ultimo controllo, e in tal caso emette il segnale data_file_changed(path) del foglio - così modifichi i numeri di un nemico nell'Inspector e il gioco in esecuzione li recepisce. Mettilo sotto Ogni X secondi; il primo controllo si limita a prendere una lettura, quindi non scatta nulla solo perché la riga è partita. È uno strumento per le build di debug: legge il timestamp del file ogni volta che viene eseguito."
watch [b]{path}[/b] for edits,sorveglia le modifiche di [b]{path}[/b]
"The data file to watch (a .tres, .json or .csv).","Il file di dati da sorvegliare (un .tres, .json o .csv)."
Reload Data Asset,Ricarica asset di dati
"Re-reads a data asset from disk into the copy every node is already holding, so the new numbers apply without restarting or re-assigning anything. It reloads DATA, not code: a changed script still needs a restart. Nothing happens when the path is not there.","Rilegge da disco un asset di dati dentro la copia che ogni nodo ha già in mano, così i nuovi numeri si applicano senza riavviare né riassegnare nulla. Ricarica i DATI, non il codice: uno script cambiato richiede comunque un riavvio. Se il percorso non c'è non succede nulla."
reload data asset [b]{path}[/b],ricarica l'asset di dati [b]{path}[/b]
The data asset to re-read from disk.,L'asset di dati da rileggere da disco.
On Data File Changed,Al cambio del file di dati
"Runs when a Watch Data File row notices that a watched file has been written. The path arrives on the row as path, so the reaction reloads exactly the file that changed even when two land in the same check. Needs a Signal row for data_file_changed(path: String) - without one the sheet still compiles, but nothing connects this event, so it never runs. The Project Doctor flags that.","Viene eseguito quando una riga Sorveglia file di dati si accorge che un file sorvegliato è stato scritto. Il percorso arriva sulla riga come path, così la reazione ricarica esattamente il file che è cambiato anche quando due arrivano nello stesso controllo. Richiede una riga Segnale per data_file_changed(path: String) - senza di essa il foglio compila lo stesso, ma nulla collega questo evento, quindi non viene mai eseguito. Il Dottore del progetto lo segnala."
On data file changed ( {path} ),Al cambio del file di dati ( {path} )
"The file that was written, carried by the signal itself.","Il file che è stato scritto, portato dal segnale stesso."
Data Folder Problems,Problemi della cartella di dati
"Every structural problem in a folder of data assets, one per line, and """" when it is clean: a file that cannot be loaded, one with no usable id, and two files claiming the same id (where the second quietly wins every lookup). Show it, log it, or fail a build with it.","Ogni problema strutturale in una cartella di asset di dati, uno per riga, e """" quando è pulita: un file che non si carica, uno senza un id utilizzabile, e due file che rivendicano lo stesso id (dove il secondo vince silenziosamente ogni ricerca). Mostralo, registralo, o falli fallire una build."
problems in [b]{folder}[/b],problemi in [b]{folder}[/b]
Folder of data assets to check (not recursive).,Cartella di asset di dati da controllare (non ricorsiva).
Data Folder Is Valid,La cartella di dati è valida
"True when every data asset in a folder loads, has an id, and has an id no sibling shares - the check to put in front of loading a mod folder or user content. Read the reasons with Data Folder Problems.","Vero quando ogni asset di dati di una cartella si carica, ha un id, e ha un id che nessun altro accanto a lui condivide - il controllo da mettere prima di caricare una cartella di mod o di contenuti dell'utente. Leggi i motivi con Problemi della cartella di dati."
[b]{folder}[/b] is valid data,[b]{folder}[/b] è dati validi
Validate Data Folder,Valida la cartella di dati
"Checks a folder of data assets and writes every problem it finds to the Output as one warning, saying which file and what is wrong. A clean folder says nothing at all, so it is safe to leave in a startup event.","Controlla una cartella di asset di dati e scrive nell'Output ogni problema che trova come un avviso, dicendo quale file e cosa non va. Una cartella pulita non dice proprio nulla, quindi è sicuro lasciarlo in un evento di avvio."
validate data folder [b]{folder}[/b],valida la cartella di dati [b]{folder}[/b]
World Point To Screen,Da punto del mondo a schermo
"Where a world point sits on screen right now, camera zoom and scroll included - pin a nameplate, a health bar or a damage number to something that moves. Put the answer on a node that lives on a CanvasLayer and it will track its target without lagging behind the camera.","Dove un punto del mondo si trova sullo schermo in questo momento, zoom e scorrimento della telecamera inclusi - fissa una targhetta, una barra della salute o un numero di danno a qualcosa che si muove. Metti la risposta su un nodo che vive su un CanvasLayer e seguirà il suo bersaglio senza restare indietro rispetto alla telecamera."
Math & Random,Matematica e casualità
screen position of [b]{world_point}[/b],posizione sullo schermo di [b]{world_point}[/b]
World Point,Punto del mondo
A position in the game world.,Una posizione nel mondo di gioco.
Screen Point To World,Da punto dello schermo al mondo
"The world position under a screen pixel - click-to-place, a gamepad cursor, a HUD marker dragged onto the map. The exact opposite of World Point To Screen, so the two round-trip.","La posizione nel mondo sotto un pixel dello schermo - clicca per piazzare, un cursore da gamepad, un segnalino dell'HUD trascinato sulla mappa. L'esatto contrario di Da punto del mondo a schermo, quindi i due si invertono a vicenda."
world position of screen point [b]{screen_point}[/b],posizione nel mondo del punto dello schermo [b]{screen_point}[/b]
Screen Point,Punto dello schermo
"A position in screen pixels, with 0,0 at the top-left of the view.","Una posizione in pixel dello schermo, con 0,0 in alto a sinistra della vista."
Project To Screen (3D),Proietta sullo schermo (3D)
"Where a 3D world point lands on screen - nameplates over 3D characters, damage numbers, objective pins drawn on a CanvasLayer. Reads as 0,0 while there is no active 3D camera, so it never faults during a scene change. Check Is Behind Camera (3D) first: a point behind you still projects to a number.","Dove un punto del mondo 3D atterra sullo schermo - targhette sopra i personaggi 3D, numeri di danno, segnalini di obiettivo disegnati su un CanvasLayer. Si legge come 0,0 finché non c'è una telecamera 3D attiva, così non fallisce mai durante un cambio di scena. Controlla prima È dietro la telecamera (3D): un punto alle tue spalle proietta comunque un numero."
screen position of 3D point [b]{world_point}[/b],posizione sullo schermo del punto 3D [b]{world_point}[/b]
A position in the 3D world.,Una posizione nel mondo 3D.
Is Point On Screen,Il punto è sullo schermo
"True while a world point is inside the visible view - the honest gate for spawning, culling, showing an off-screen arrow, or holding a tutorial callout until its subject is actually visible.","Vero finché un punto del mondo è dentro la vista visibile - la condizione onesta per generare, escludere dal disegno, mostrare una freccia fuori schermo o trattenere un richiamo del tutorial finché il suo soggetto non è davvero visibile."
[b]{world_point}[/b] is on screen (margin [b]{margin}[/b]),[b]{world_point}[/b] è sullo schermo (margine [b]{margin}[/b])
The world position being tested.,La posizione nel mondo sotto test.
Margin,Margine
Pixels of slack outside the view that still count as on screen. Negative pulls the test inward.,Pixel di tolleranza fuori dalla vista che contano ancora come sullo schermo. Un valore negativo stringe il test verso l'interno.
Is Behind Camera (3D),È dietro la telecamera (3D)
"True when a 3D point sits behind the camera plane, where its projected screen position is a mirrored lie. The guard every 3D waypoint marker needs before it draws. With no camera in the scene it reads true, so nothing is drawn into a view that does not exist.","Vero quando un punto 3D si trova dietro il piano della telecamera, dove la sua posizione proiettata sullo schermo è una bugia specchiata. La protezione di cui ha bisogno ogni segnalino di waypoint 3D prima di disegnarsi. Senza una telecamera nella scena si legge vero, così non viene disegnato nulla in una vista che non esiste."
[b]{world_point}[/b] is behind the camera,[b]{world_point}[/b] è dietro la telecamera
The 3D position being tested.,La posizione 3D sotto test.
Screen Edge Position For,Posizione sul bordo dello schermo per
"A screen position that follows a target while it is visible and sticks to the edge of the view once it is not - the off-screen objective arrow, the radar blip, the ""your teammate is over there"" chevron. Pair it with Marker Angle Toward for the rotation.","Una posizione sullo schermo che segue un bersaglio finché è visibile e si incolla al bordo della vista quando non lo è più - la freccia di obiettivo fuori schermo, il puntino del radar, la freccetta «il tuo compagno è di là». Abbinala ad Angolo del segnalino verso per la rotazione."
screen edge position for [b]{world_point}[/b] (margin [b]{margin}[/b]),posizione sul bordo dello schermo per [b]{world_point}[/b] (margine [b]{margin}[/b])
The thing being pointed at.,La cosa che viene indicata.
How far in from the edge the marker is parked.,Quanto in dentro dal bordo viene parcheggiato il segnalino.
Marker Angle Toward,Angolo del segnalino verso
"The rotation in degrees an on-screen arrow needs so it points from the middle of the view at a world thing - the other half of the off-screen marker, and it stays right while the camera zooms or rotates.","La rotazione in gradi di cui una freccia sullo schermo ha bisogno per puntare dal centro della vista verso una cosa nel mondo - l'altra metà del segnalino fuori schermo, e resta corretta mentre la telecamera zooma o ruota."
marker angle toward [b]{world_point}[/b],angolo del segnalino verso [b]{world_point}[/b]
Visible World Rect,Rettangolo visibile del mondo
"The rectangle of the world the camera can currently see, in world coordinates - spawn just outside it, cull outside it, clamp a node inside it, or size a minimap to it. Follows the camera's zoom and position with nothing to keep in sync.","Il rettangolo di mondo che la telecamera vede in questo momento, in coordinate del mondo - genera appena fuori, escludi ciò che è fuori, tieni un nodo dentro, o dimensiona una minimappa su di esso. Segue lo zoom e la posizione della telecamera senza niente da tenere sincronizzato."
visible world rect,rettangolo visibile del mondo
Wrap Inside The View (3D),Rientra dentro la vista (3D)
"The Asteroids rule in 3D: leave the right of the view and come back on the left, off the top and back at the bottom, at the same distance from the camera. The missing twin of the 2D Wrap Inside The Screen, for a wrap-around arena or an endless shoal. Does nothing while there is no 3D camera.","La regola di Asteroids in 3D: esci a destra della vista e rientra da sinistra, esci in alto e rientra in basso, alla stessa distanza dalla telecamera. Il gemello mancante del Rientra dentro lo schermo 2D, per un'arena a giro chiuso o un banco di pesci infinito. Non fa nulla finché non c'è una telecamera 3D."
Movement,Movimento
wrap inside the view,rientra dentro la vista
Random Point In Circle,Punto casuale nel cerchio
"An evenly spread random point inside a circle - the sqrt weighting is done for you, so scatter does not bunch up in the middle the way the obvious version does.","Un punto casuale distribuito in modo uniforme dentro un cerchio - la pesatura con la radice quadrata è già fatta per te, così lo sparpagliamento non si ammassa al centro come fa la versione ovvia."
random point within [b]{radius}[/b] of [b]{center}[/b],punto casuale entro [b]{radius}[/b] da [b]{center}[/b]
Center,Centro
Middle of the circle.,Il centro del cerchio.
Radius,Raggio
In pixels.,In pixel.
Random Point On Circle,Punto casuale sul cerchio
"A random point exactly ON the rim of a circle, never inside it - a spawn ring around the player, orbiting decor, a radial menu slot, the starting point of a homing shot.","Un punto casuale esattamente SUL bordo di un cerchio, mai al suo interno - un anello di generazione attorno al giocatore, decorazioni in orbita, una casella di menu radiale, il punto di partenza di un colpo a ricerca."
random point on a circle of [b]{radius}[/b] around [b]{center}[/b],punto casuale su un cerchio di raggio [b]{radius}[/b] attorno a [b]{center}[/b]
Random Point In Ring,Punto casuale nell'anello
"A random point in the doughnut between two radii - the off-screen spawner that never drops an enemy in the player's lap, and never so far away it never arrives. Evenly spread across the whole band, not crowded against the inner edge.","Un punto casuale nella ciambella fra due raggi - il generatore fuori schermo che non fa mai cadere un nemico in braccio al giocatore, e mai così lontano da non arrivare mai. Distribuito in modo uniforme su tutta la fascia, non ammassato contro il bordo interno."
random point between [b]{inner_radius}[/b] and [b]{outer_radius}[/b] of [b]{center}[/b],punto casuale fra [b]{inner_radius}[/b] e [b]{outer_radius}[/b] da [b]{center}[/b]
Middle of the ring.,Il centro dell'anello.
Inner Radius,Raggio interno
Nothing spawns closer than this.,Niente viene generato più vicino di così.
Outer Radius,Raggio esterno
Nothing spawns further than this.,Niente viene generato più lontano di così.
Random Point In Rectangle,Punto casuale nel rettangolo
"A random point inside an axis-aligned rectangle - loot scatter across a room, prop placement, confetti over a banner, a patrol target inside a zone. Feed it Visible World Rect's position and size to scatter across whatever the camera can see.","Un punto casuale dentro un rettangolo allineato agli assi - bottino sparso per una stanza, disposizione di oggetti scenici, coriandoli sopra uno striscione, un bersaglio di pattuglia dentro una zona. Dagli la posizione e la dimensione del Rettangolo visibile del mondo per sparpagliare su tutto quello che la telecamera vede."
random point in the rect at [b]{top_left}[/b] sized [b]{size}[/b],punto casuale nel rettangolo a [b]{top_left}[/b] di dimensione [b]{size}[/b]
Top Left,In alto a sinistra
Corner the rectangle starts at.,L'angolo da cui parte il rettangolo.
Size,Dimensione
Width and height in pixels.,Larghezza e altezza in pixel.
Random Point In Cone,Punto casuale nel cono
"A random point inside a wedge - shotgun spread, cone attacks, directional scatter, a spray of sparks away from a wall. Facing and spread are in degrees, so the row reads the way you think about it.","Un punto casuale dentro uno spicchio - rosa di fucile a pompa, attacchi a cono, sparpagliamento direzionale, uno spruzzo di scintille via da un muro. Direzione e apertura sono in gradi, così la riga si legge come la pensi."
random point in a [b]{spread_degrees}[/b] cone facing [b]{facing_degrees}[/b] from [b]{center}[/b],punto casuale in un cono di [b]{spread_degrees}[/b] rivolto a [b]{facing_degrees}[/b] da [b]{center}[/b]
Tip,Punta
Where the wedge starts.,Dove inizia lo spicchio.
Facing,Direzione
"Direction the wedge points, in degrees.","La direzione verso cui punta lo spicchio, in gradi."
Spread,Apertura
"Total width of the cone in degrees, half either side of facing.","Larghezza totale del cono in gradi, metà per lato rispetto alla direzione."
Reach,Portata
How far the wedge extends.,Fin dove si estende lo spicchio.
Random Point Around,Punto casuale attorno a
"Random scatter around a node that is already in the scene - blood splats around a hit, footprints around a stomp, sparkles around a pickup, a wander target around home. Pick the node instead of typing its position, and the scatter follows it as it moves.","Sparpagliamento casuale attorno a un nodo che è già nella scena - schizzi di sangue attorno a un colpo, impronte attorno a un pestone, scintille attorno a un oggetto da raccogliere, un bersaglio di vagabondaggio attorno a casa. Scegli il nodo invece di scrivere la sua posizione, e lo sparpagliamento lo segue mentre si muove."
random point [b]{min_radius}[/b] to [b]{max_radius}[/b] around [i]{node}[/i],punto casuale da [b]{min_radius}[/b] a [b]{max_radius}[/b] attorno a [i]{node}[/i]
Around,Attorno a
Node the point is scattered around.,Il nodo attorno a cui il punto viene sparpagliato.
Nearest,Più vicino
Nothing lands closer than this.,Niente atterra più vicino di così.
Furthest,Più lontano
Nothing lands further than this.,Niente atterra più lontano di così.
Random Direction (2D),Direzione casuale (2D)
"A random unit direction in 2D - multiply it by a speed for a random shove, by a distance for a random offset. Always exactly one unit long, so the strength stays where you set it.","Una direzione unitaria casuale in 2D - moltiplicala per una velocità per una spinta casuale, per una distanza per uno scostamento casuale. È sempre lunga esattamente un'unità, così la forza resta dove l'hai impostata."
random direction,direzione casuale
Random Direction (3D),Direzione casuale (3D)
"A random unit direction in 3D, evenly spread over the whole sphere. The naive three-random-numbers version crowds the corners of a cube; this one does not, so debris and shrapnel fly out honestly.","Una direzione unitaria casuale in 3D, distribuita in modo uniforme su tutta la sfera. La versione ingenua con tre numeri casuali affolla gli angoli di un cubo; questa no, così detriti e schegge volano via onestamente."
random direction (3D),direzione casuale (3D)
Random Point In Sphere,Punto casuale nella sfera
"An evenly spread random point inside a 3D sphere - spawn clouds, debris fields, flocking targets. The cube-root weighting keeps the middle from filling up first.","Un punto casuale distribuito in modo uniforme dentro una sfera 3D - nuvole di generazione, campi di detriti, bersagli per lo stormo. La pesatura con la radice cubica evita che il centro si riempia per primo."
random point within [b]{radius}[/b] of [b]{center}[/b] (3D),punto casuale entro [b]{radius}[/b] da [b]{center}[/b] (3D)
Middle of the sphere.,Il centro della sfera.
In metres.,In metri.
Random Point In Box,Punto casuale nel box
"A random point inside an axis-aligned 3D box - scatter trees over a chunk, spawn enemies in a room volume, place ambient audio emitters. Size is the FULL box, measured around the centre.","Un punto casuale dentro un box 3D allineato agli assi - alberi sparsi su un pezzo di terreno, nemici generati nel volume di una stanza, emettitori audio d'ambiente. La dimensione è il box INTERO, misurato attorno al centro."
random point in a [b]{size}[/b] box at [b]{center}[/b],punto casuale in un box [b]{size}[/b] a [b]{center}[/b]
Middle of the box.,Il centro del box.
"Full width, height and depth.","Larghezza, altezza e profondità intere."
Random Point On Screen Edge,Punto casuale sul bordo dello schermo
"A random WORLD position on the border of what the camera can see - the wave spawner that comes in from a random side, ambient wildlife entering the frame, a meteor starting its run. Grow it with Visible World Rect if you want them to appear from just outside.","Una posizione casuale NEL MONDO sul bordo di quello che la telecamera vede - il generatore di ondate che arriva da un lato a caso, fauna d'ambiente che entra nell'inquadratura, un meteorite che inizia la sua corsa. Allargalo con il Rettangolo visibile del mondo se vuoi che compaiano appena fuori."
random point on the screen edge,punto casuale sul bordo dello schermo
Jitter,Variazione casuale
"Nudges a value by a random amount up to the size you give - pitch variation on a sound, a pixel or two of scatter on a decal, a shade of variation on a tint. Works on numbers, vectors and colors as long as the amount is the same kind of value.","Sposta un valore di una quantità casuale fino alla dimensione che indichi - variazione di tono su un suono, un pixel o due di sparpagliamento su una decalcomania, una sfumatura di variazione su una tinta. Funziona su numeri, vettori e colori purché la quantità sia dello stesso tipo di valore."
[b]{value}[/b] jittered by [b]{amount}[/b],[b]{value}[/b] variato a caso di [b]{amount}[/b]
"The number, vector or color being nudged.","Il numero, vettore o colore da spostare."
By,Di
"The most it can move, as the SAME kind of value - a number for a number, a Vector2 for a position, a Color for a tint.","Il massimo di cui può spostarsi, come valore dello STESSO tipo - un numero per un numero, un Vector2 per una posizione, un Color per una tinta."
Bounce Off Surface,Rimbalza sulla superficie
"The velocity a moving thing has AFTER hitting a surface - feed it the normal any hit trigger or raycast hands you. Ricochets, pinball, breakout, deflect shields.","La velocità che una cosa in movimento ha DOPO aver colpito una superficie - dagli la normale che qualsiasi trigger di collisione o raycast ti consegna. Rimbalzi, flipper, breakout, scudi deflettori."
[b]{velocity}[/b] bounced off [b]{normal}[/b],[b]{velocity}[/b] rimbalzata su [b]{normal}[/b]
Velocity,Velocità
How the thing was moving when it hit.,Come si stava muovendo la cosa quando ha colpito.
Surface Normal,Normale della superficie
The normal any hit trigger or raycast hands you.,La normale che ti consegna qualsiasi trigger di collisione o raycast.
Bounciness,Elasticità
"1 keeps all the speed, 0.6 is a rubber ball, 0 is a dead stop.","1 mantiene tutta la velocità, 0,6 è una palla di gomma, 0 è uno stop secco."
Slide Along Surface,Scivola lungo la superficie
"The velocity left over once the part pushing INTO a surface is removed - a wall slide that keeps you moving along the wall instead of sticking to it, slope movement, a dash that grazes a corner rather than stopping dead.","La velocità che resta una volta tolta la parte che spinge DENTRO una superficie - una scivolata sul muro che ti tiene in movimento lungo il muro invece di incollarti, movimento in pendenza, uno scatto che sfiora un angolo invece di fermarsi di colpo."
[b]{velocity}[/b] slid along [b]{normal}[/b],[b]{velocity}[/b] fatta scivolare lungo [b]{normal}[/b]
How the thing was moving when it met the surface.,Come si stava muovendo la cosa quando ha incontrato la superficie.
Angle Reflected,Angolo riflesso
The heading in degrees a thing travels on after bouncing off a surface - the answer to feed straight back into Set Angle Of Motion when a bullet should ricochet instead of dying.,La direzione in gradi lungo cui una cosa viaggia dopo aver rimbalzato su una superficie - la risposta da rimettere dritta dentro Imposta angolo di movimento quando un proiettile deve rimbalzare invece di morire.
[b]{degrees}[/b] reflected off [b]{normal}[/b],[b]{degrees}[/b] riflessi su [b]{normal}[/b]
Angle,Angolo
"The heading it was travelling on, in degrees.","La direzione lungo cui stava viaggiando, in gradi."
The normal the hit reported.,La normale riportata dall'urto.
Push Out Of Surface,Spingi fuori dalla superficie
"A position just clear of a surface instead of exactly on it - park a ricocheting bullet, a decal or a spawned effect here. Landing exactly on a surface is how a thing ends up stuck inside it on the next frame, because a ray that starts inside a shape does not report it.","Una posizione appena fuori da una superficie invece che esattamente sopra - parcheggia qui un proiettile che rimbalza, una decalcomania o un effetto generato. Atterrare esattamente su una superficie è il modo in cui una cosa finisce incastrata al suo interno al frame dopo, perché un raggio che parte dentro una forma non la riporta."
[b]{point}[/b] pushed [b]{distance}[/b] out of [b]{normal}[/b],[b]{point}[/b] spinto di [b]{distance}[/b] fuori da [b]{normal}[/b]
Hit Point,Punto d'urto
Where the hit happened.,Dove è avvenuto l'urto.
Clearance,Distacco
Pixels of daylight to leave between the thing and the surface.,Pixel di spazio da lasciare fra la cosa e la superficie.
Face Along Velocity,Orienta lungo la velocità
"Turns this node to point the way it is travelling, and leaves it alone while it is standing still so a stopped thing never snaps back to facing right. Arrows, fish, cars, thrown knives, a camera that leads the motion.","Gira questo nodo perché punti nella direzione in cui viaggia, e lo lascia stare mentre è fermo così una cosa ferma non scatta mai a guardare a destra. Frecce, pesci, automobili, coltelli lanciati, una telecamera che anticipa il movimento."
face along [b]{velocity}[/b],orienta lungo [b]{velocity}[/b]
"How this node is moving - Get Velocity on a body, or the direction you are driving it with.","Come si sta muovendo questo nodo - Leggi velocità su un corpo, o la direzione con cui lo stai guidando."
Look At (safe up),Guarda verso (alto sicuro)
"Turns a 3D node to face a point WITHOUT the crash the plain Look At has: when the target is directly overhead or underfoot, the usual up vector points the same way as the look direction and Godot cannot build a rotation from that. This one swaps the up vector at the last moment, and does nothing at all when the target is where the node already is.","Gira un nodo 3D perché guardi verso un punto SENZA il crash che ha il Guarda verso normale: quando il bersaglio è esattamente sopra o sotto, il solito vettore su punta nella stessa direzione dello sguardo e Godot non può costruirci una rotazione. Questo scambia il vettore su all'ultimo momento, e non fa proprio nulla quando il bersaglio è dove il nodo si trova già."
look at [b]{target}[/b] (safe up),guarda verso [b]{target}[/b] (alto sicuro)
Look At,Guarda verso
The world position to face.,La posizione nel mondo da guardare.
Look At (flat),Guarda verso (in piano)
"Turns a 3D node to face a point but only around the up axis, so a character looks at the player without tipping over to stare at their feet. The rotation every humanoid, turret base and standing NPC actually wants.","Gira un nodo 3D perché guardi verso un punto ma solo attorno all'asse verticale, così un personaggio guarda il giocatore senza piegarsi a fissargli i piedi. La rotazione che ogni umanoide, base di torretta e PNG in piedi vuole davvero."
look at [b]{target}[/b] (flat),guarda verso [b]{target}[/b] (in piano)
Aim At Moving Target,Mira a bersaglio in movimento
"Where to aim so a shot MEETS a moving target instead of trailing it - the interception point every turret and archer needs. When the target is faster than the shot no lead exists, and it falls back to the target's current spot rather than pointing somewhere absurd.","Dove mirare perché un colpo INCONTRI un bersaglio in movimento invece di inseguirlo - il punto di intercettazione di cui ha bisogno ogni torretta e ogni arciere. Quando il bersaglio è più veloce del colpo non esiste anticipo, e ripiega sul punto attuale del bersaglio invece di puntare da qualche parte di assurdo."
aim at [b]{target_position}[/b] moving [b]{target_velocity}[/b],mira a [b]{target_position}[/b] che si muove a [b]{target_velocity}[/b]
Shooting From,Si spara da
Where the shot starts.,Dove parte il colpo.
Target At,Bersaglio a
Where the target is right now.,Dove si trova il bersaglio in questo momento.
Target Moving At,Bersaglio in movimento a
"How the target is moving, in pixels per second.","Come si sta muovendo il bersaglio, in pixel al secondo."
Shot Speed,Velocità del colpo
"How fast your shot travels, in pixels per second.","Quanto veloce viaggia il tuo colpo, in pixel al secondo."
Launch Angle For Arc,Angolo di lancio per l'arco
"The angle in degrees to fire something so it ARCS onto a target - grenades, mortars, catapults, a coin tossed into a counter. Picks the flatter of the two possible arcs, and reads as 45 degrees when the shot cannot reach at all, so a row never produces a number that is not a number.","L'angolo in gradi con cui sparare qualcosa perché ARRIVI IN ARCO su un bersaglio - granate, mortai, catapulte, una moneta lanciata in un bancone. Sceglie il più piatto dei due archi possibili, e si legge come 45 gradi quando il colpo non può proprio arrivare, così una riga non produce mai un numero che non è un numero."
"launch angle to reach [b]{distance}[/b] away, [b]{height}[/b] up","angolo di lancio per arrivare a [b]{distance}[/b] di distanza, [b]{height}[/b] più in alto"
Distance,Distanza
"How far away the target is, along the ground.","Quanto è lontano il bersaglio, lungo il terreno."
Height Difference,Dislivello
How much higher the target is than the launcher; negative is downhill.,Quanto il bersaglio è più in alto del lanciatore; negativo è in discesa.
Launch Speed,Velocità di lancio
How fast the thing leaves the launcher.,Quanto veloce la cosa lascia il lanciatore.
Gravity,Gravità
"Pull downward, in the same units as the speed.","Attrazione verso il basso, nelle stesse unità della velocità."
Time To Reach,Tempo per arrivare
"How many seconds something moving at a steady speed needs to cover a distance - time a warning before the missile lands, size a tween to match a walk, decide whether the interceptor can get there first.","Quanti secondi servono a qualcosa che si muove a velocità costante per coprire una distanza - cronometra un avviso prima che arrivi il missile, dimensiona un tween sulla camminata, decidi se l'intercettore può arrivarci prima."
time for [b]{speed}[/b] to cross [b]{from_position}[/b] to [b]{to_position}[/b],tempo perché [b]{speed}[/b] copra il tratto da [b]{from_position}[/b] a [b]{to_position}[/b]
Where it starts.,Da dove parte.
Where it is going.,Dove sta andando.
Speed,Velocità
Pixels per second.,Pixel al secondo.
Cell Of Point,Cella del punto
"Which grid cell a world position falls in - no TileMapLayer needed, so build grids, inventory slots and chunk keys all speak the same language. Negative positions land in negative cells, which is what a grid that extends left and up actually wants.","In quale cella della griglia cade una posizione del mondo - senza bisogno di un TileMapLayer, così griglie, caselle dell'inventario e chiavi dei chunk parlano tutte la stessa lingua. Le posizioni negative finiscono in celle negative, che è quello che vuole davvero una griglia che si estende a sinistra e in alto."
cell of [b]{point}[/b] on a [b]{cell_size}[/b] grid,cella di [b]{point}[/b] su una griglia da [b]{cell_size}[/b]
Point,Punto
A world position.,Una posizione nel mondo.
Cell Size,Dimensione della cella
Pixels across one cell. Type Tiles(1) to read your project's own tile size instead.,Pixel di lato di una cella. Scrivi Tiles(1) per leggere invece la dimensione delle tile del tuo progetto.
Center Of Cell,Centro della cella
"The world position at the middle of a grid cell - where the placement ghost sits, where the tower is built, where the piece lands. The exact partner of Cell Of Point, so the pair round-trips.","La posizione nel mondo al centro di una cella della griglia - dove sta il fantasma del piazzamento, dove viene costruita la torre, dove atterra il pezzo. Il partner esatto di Cella del punto, così la coppia si inverte a vicenda."
center of cell [b]{cell}[/b] on a [b]{cell_size}[/b] grid,centro della cella [b]{cell}[/b] su una griglia da [b]{cell_size}[/b]
Cell,Cella
The grid cell.,La cella della griglia.
Pixels across one cell.,Pixel di lato di una cella.
Snap Point To Grid,Aggancia il punto alla griglia
"The nearest grid intersection to a loose position - a dragged card falling into its slot, a level editor brush, a UI element clicking onto a column. Rounds to the nearest, so a thing dropped just past halfway moves forward rather than back.","L'incrocio di griglia più vicino a una posizione libera - una carta trascinata che cade nella sua casella, un pennello dell'editor di livelli, un elemento di interfaccia che scatta su una colonna. Arrotonda al più vicino, così una cosa lasciata appena oltre la metà va avanti invece che indietro."
[b]{point}[/b] snapped to a [b]{cell_size}[/b] grid,[b]{point}[/b] agganciato a una griglia da [b]{cell_size}[/b]
The loose world position.,La posizione libera nel mondo.
Snap Point To Grid (3D),Aggancia il punto alla griglia (3D)
"The nearest point on a 3D grid - voxel placement, modular level pieces clicking together, a build cursor that lines up with the floor tiles.","Il punto più vicino su una griglia 3D - piazzamento di voxel, pezzi di livello modulari che si incastrano, un cursore di costruzione che si allinea alle piastrelle del pavimento."
[b]{point}[/b] snapped to a [b]{cell_size}[/b] grid (3D),[b]{point}[/b] agganciato a una griglia da [b]{cell_size}[/b] (3D)
Metres across one cell.,Metri di lato di una cella.
Cell Distance,Distanza fra celle
